Country,Time,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation ,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per Capita ,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Inflation Rate ,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT)
Algeria,2004-09-01,2004.0,,,111.27,,,,,5.56,,,,,,,,,,4.91,,,,,,,,,
Algeria,2004-10-01,2004.0,,,111.64,,,,,5.23,,0.9,,,,,,,,4.59,,,1688530.7,,,,,,
Algeria,2004-11-01,2004.0,,,110.78,,,,,4.78,,,,,,,,,,4.25,,,,,,,,,
Algeria,2004-12-01,2004.0,,,110.14,,,,,4.47,,,,,,,,,,3.97,,,,,,,,,
Algeria,2005-01-01,2005.0,,,111.8,,,,46.3,4.06,,4.9,,,,,,-19.85,,3.58,,,4856828.1,,,,,,
Algeria,2005-02-01,2005.0,,,112.42,,,,,3.87,,,,,,,,,,3.42,,,,,,,,,
Algeria,2005-03-01,2005.0,,,112.94,,,,,3.26,,,,,,,,,,3.08,,,,,,,,,
Algeria,2005-04-01,2005.0,,,113.31,,,,,2.73,,5.9,,,,,,,,2.77,,,1932148.9,,,,,,
Algeria,2005-05-01,2005.0,,,111.77,,,,,2.22,,,,,,,,,,2.52,,,,,,,,,
Algeria,2005-06-01,2005.0,,,111.42,,,,,1.97,,,,,,,,,,2.46,,,,,,,,,
Algeria,2005-07-01,2005.0,,,110.67,,,,,1.42,,3.9,,,,,,,,2.34,,,1956909.8,,,,,,
Algeria,2005-08-01,2005.0,,,110.29,,,,,1.08,,,,,,,,,,2.31,,,,,,,,,
Algeria,2005-09-01,2005.0,,,110.19,,,,,0.23,,,,,,,,,,1.95,,,,,,,,,
Algeria,2005-10-01,2005.0,,,110.72,,,,,-0.53,,7.3,,,,,,,,1.64,,,2085247.0,,,,,,
Algeria,2005-11-01,2005.0,,,110.64,,,,,-0.91,,,,,,,,,,1.46,,,,,,,,,
Algeria,2005-12-01,2005.0,,,111.49,,,,,-1.07,,,,,,,,,,1.38,,,,,,,,,
Algeria,2006-01-01,2006.0,,,112.5,,,,54.7,-1.45,,2.35,,,,,,-20.68,,1.22,,,5549354.35,,,,,,
Algeria,2006-02-01,2006.0,,,112.15,,,,,-1.83,,,,,,,,,,0.93,,,,,,,,,
Algeria,2006-03-01,2006.0,,,113.26,,,,,-1.98,,,,,,,,,,0.73,,,,,,,,,
Algeria,2006-04-01,2006.0,,,114.41,,,,,-2.01,,2.8,,,,,,,,0.58,,,2305469.7,,,,,,
Algeria,2006-05-01,2006.0,,,114.19,,,,,-1.64,,,,,,,,,,0.61,,,,,,,,,
Algeria,2006-06-01,2006.0,,,113.73,,,,,-1.26,,,,,,,,,,0.62,,,,,,,,,
Algeria,2006-07-01,2006.0,,,112.89,,,,,-0.62,,3.2,,,,,,,,0.69,,,2248664.1,,,,,,
Algeria,2006-08-01,2006.0,,,113.9,,,,,0.12,,,,,,,,,,0.87,,,,,,,,,
Algeria,2006-09-01,2006.0,,,114.75,,,,,1.34,,,,,,,,,,1.29,,,,,,,,,
Algeria,2006-10-01,2006.0,,,115.86,,,,,2.63,,3.7,,,,,,,,1.74,,,2230467.5,,,,,,
Algeria,2006-11-01,2006.0,,,115.17,,,,,3.56,,,,,,,,,,2.09,,,,,,,,,
Algeria,2006-12-01,2006.0,,,115.77,,,,,4.22,,,,,,,,,,2.31,,,,,,,,,
Algeria,2007-01-01,2007.0,,,115.17,,,,60.6,4.65,,3.75,,,,,,-26.35,,2.46,,,6085548.4,,,,,,
Algeria,2007-02-01,2007.0,,,115.86,,,,,5.26,,,,,,,,,,2.76,,,,,,,,,
Algeria,2007-03-01,2007.0,,,116.73,,,,,5.69,,,,,,,,,,2.99,,,,,,,,,
Algeria,2007-04-01,2007.0,,,116.24,,,,,5.64,,2.8,,,,,,,,3.04,,,2471283.7,,,,,,
Algeria,2007-05-01,2007.0,,,115.71,,,,,5.31,,,,,,,,,,2.97,,,,,,,,,
Algeria,2007-06-01,2007.0,,,117.46,,,,,5.38,,,,,,,,,,3.07,,,,,,,,,
Algeria,2007-07-01,2007.0,,,118.31,,,,,5.77,,3.9,,,,,,,,3.3,,,2452661.0,,,,,,
Algeria,2007-08-01,2007.0,,,118.88,,,,,5.96,,,,,,,,,,3.4,,,,,,,,,
Algeria,2007-09-01,2007.0,,,120.95,,,,,6.12,,,,,,,,,,3.51,,,,,,,,,
Algeria,2007-10-01,2007.0,,,121.57,,,,,6.1,,1.5,,,,,,,,3.53,,,2650900.5,,,,,,
Algeria,2007-11-01,2007.0,,,120.72,,,,,6.22,,,,,,,,,,3.6,,,,,,,,,
Algeria,2007-12-01,2007.0,,,121.33,,,,,6.36,,,,,,,,,,3.68,,,,,,,,,
Algeria,2008-01-01,2008.0,,,120.39,,,,78.6,6.74,,2.5,,,,,,-37.99,,3.86,,,7230150.1,,,,,,
Algeria,2008-02-01,2008.0,,,121.42,,,,,7.07,,,,,,,,,,3.98,,,,,,,,,
Algeria,2008-03-01,2008.0,,,123.58,,,,,7.6,,,,,,,,,,4.22,,,,,,,,,
Algeria,2008-04-01,2008.0,,,123.61,,,,,8.53,,2.2,,,,,,,,4.61,,,3117394.1,,,,,,
Algeria,2008-05-01,2008.0,,,123.42,,,,,9.54,,,,,,,,,,5.06,,,,,,,,,
Algeria,2008-06-01,2008.0,,,122.29,,,,,9.63,,,,,,,,,,5.12,,,,,,,,,
Algeria,2008-07-01,2008.0,,,121.39,,,,,9.09,,3.1,,,,,,,,4.93,,,3073419.5,,,,,,
Algeria,2008-08-01,2008.0,,,124.32,,,,,8.8,,,,,,,,,,4.95,,,,,,,,,
Algeria,2008-09-01,2008.0,,,126.6,,,,,8.37,,,,,,,,,,4.89,,,,,,,,,
Algeria,2008-10-01,2008.0,,,126.61,,,,,7.94,,2.0,,,,,,,,4.82,,,2648274.2,,,,,,
Algeria,2008-11-01,2008.0,,,127.01,,,,,7.75,,,,,,,,,,4.85,,,,,,,,,
Algeria,2008-12-01,2008.0,,,127.23,,,,,7.5,,,,,,,,,,4.86,,,,,,,,,
Algeria,2009-01-01,2009.0,,,126.98,,,,45.2,7.43,,1.9,,,,,,-37.4,,4.94,,,6784099.65,,,,,,
Algeria,2009-02-01,2009.0,,,128.91,,,,,7.38,,,,,,,,,,5.05,,,,,,,,,
Algeria,2009-03-01,2009.0,,,130.5,,,,,7.11,,,,,,,,,,5.03,,,,,,,,,
Algeria,2009-04-01,2009.0,,,130.81,,,,,6.8,,0.9,,,,,,,,5.0,,,2716211.9,,,,,,
Algeria,2009-05-01,2009.0,,,127.84,,,,,6.04,,,,,,,,,,4.74,,,,,,,,,
Algeria,2009-06-01,2009.0,,,128.25,,,,,5.96,,,,,,,,,,4.8,,,,,,,,,
Algeria,2009-07-01,2009.0,,,130.24,,,,,6.53,,0.2,,,,,,,,5.19,,,2703206.0,,,,,,
Algeria,2009-08-01,2009.0,,,132.4,,,,,6.93,,,,,,,,,,5.35,,,,,,,,,
Algeria,2009-09-01,2009.0,,,133.96,,,,,7.27,,,,,,,,,,5.45,,,,,,,,,
Algeria,2009-10-01,2009.0,,,134.23,,,,,7.72,,1.0,,,,,,,,5.6,,,2852708.9,,,,,,
Algeria,2009-11-01,2009.0,,,134.56,,,,,7.97,,,,,,,,,,5.66,,,,,,,,,
Algeria,2009-12-01,2009.0,,,134.55,,,,,8.23,,,,,,,,,,5.74,,,,,,,,,
Algeria,2010-01-01,2010.0,,,133.52,,,,57.1,8.25,,4.0,,,,,,-38.89,,5.71,,,8207555.25,,,,,,
Algeria,2010-02-01,2010.0,,,134.26,,,,,8.01,,,,,,,,,,5.54,,,,,,,,,
Algeria,2010-03-01,2010.0,,,135.29,,,,,7.74,,,,,,,,,,5.37,,,,,,,,,
Algeria,2010-04-01,2010.0,,,134.03,,,,,7.2,,5.6,,,,,,,,5.08,,,3312502.6,,,,,,
Algeria,2010-05-01,2010.0,,,135.86,,,,,7.75,,,,,,,,,,5.31,,,,,,,,,
Algeria,2010-06-01,2010.0,,,136.08,,,,,8.08,,,,,,,,,,5.41,,,,,,,,,
Algeria,2010-07-01,2010.0,,,135.4,,,,,7.55,,5.3,,,,,,,,5.14,,,3375781.8,,,,,,
Algeria,2010-08-01,2010.0,,,137.64,,,,,6.99,,,,,,,,,,4.92,,,,,,,,,
Algeria,2010-09-01,2010.0,,,137.28,,,,,6.21,,,,,,,,,,4.64,,,,,,,,,
Algeria,2010-10-01,2010.0,,,138.01,,,,,5.47,,5.2,,,,,,,,4.37,,,3346037.1,,,,,,
Algeria,2010-11-01,2010.0,,,139.17,,,,,4.88,,,,,,,,,,4.16,,,,,,,,,
Algeria,2010-12-01,2010.0,,,138.22,,,,,4.24,,,,,,,,,,3.91,,,,,,,,,
Algeria,2011-01-01,2011.0,,,138.29,,,,72.9,3.85,,3.85,,,,,,-46.93,,3.78,,,9836117.3,,,,,,
Algeria,2011-02-01,2011.0,,,138.93,,,,,3.6,,,,,,,,,,3.73,,,,,,,,,
Algeria,2011-03-01,2011.0,,,139.94,,,,,3.39,,,,,,,,,,3.71,,,,,,,,,
Algeria,2011-04-01,2011.0,,,140.11,,,,,3.59,,1.9,,,,,,,,3.88,,,3950259.9,,,,,,
Algeria,2011-05-01,2011.0,,,141.13,,,,,3.1,,,,,,,,,,3.69,,,,,,,,,
Algeria,2011-06-01,2011.0,,,141.1,,,,,2.54,,,,,,,,,,3.49,,,,,,,,,
Algeria,2011-07-01,2011.0,,,142.47,,,,,2.8,,2.5,,,,,,,,3.6,,,3984777.5,,,,,,
Algeria,2011-08-01,2011.0,,,145.51,,,,,3.09,,,,,,,,,,3.75,,,,,,,,,
Algeria,2011-09-01,2011.0,,,144.32,,,,,3.54,,,,,,,,,,3.97,,,,,,,,,
Algeria,2011-10-01,2011.0,,,145.55,,,,,3.96,,2.8,,,,,,,,4.2,,,4242068.0,,,,,,
Algeria,2011-11-01,2011.0,,,146.02,,,,,4.03,,,,,,,,,,4.32,,,,,,,,,
Algeria,2011-12-01,2011.0,,,145.35,,,,,4.22,,,,,,,,,,4.52,,,,,,,,,
Algeria,2012-01-01,2012.0,,,148.71,,,,71.7,4.71,,2.7,,,,,,-51.57,,4.86,,,11033765.75,,,,,,
Algeria,2012-02-01,2012.0,,,151.91,,,,,5.47,,,,,,,,,,5.35,,,,,,,,,
Algeria,2012-03-01,2012.0,,,154.11,,,,,6.5,,,,,,,,,,5.91,,,,,,,,,
Algeria,2012-04-01,2012.0,,,155.49,,,,,7.47,,3.2,,,,,,,,6.45,,,4462019.6,,,,,,
Algeria,2012-05-01,2012.0,,,153.8,,,,,8.13,,,,,,,,,,6.87,,,,,,,,,
Algeria,2012-06-01,2012.0,,,153.34,,,,,8.82,,,,,,,,,,7.29,,,,,,,,,
Algeria,2012-07-01,2012.0,,,154.16,,,,,9.14,,0.8,,,,,,,,7.53,,,4084849.3,,,,,,
Algeria,2012-08-01,2012.0,,,155.97,,,,,9.31,,,,,,,,,,7.65,,,,,,,,,
Algeria,2012-09-01,2012.0,,,156.9,,,,,9.87,,,,,,,,,,7.95,,,,,,,,,
Algeria,2012-10-01,2012.0,,,159.95,,,,,10.64,,2.7,,,,,,,,8.32,,,4609219.7,,,,,,
Algeria,2012-11-01,2012.0,,,157.83,,,,,11.35,,,,,,,,,,8.58,,,,,,,,,
Algeria,2012-12-01,2012.0,,,158.48,,,,,12.22,,,,,,,,,,8.89,,,,,,,,,
Algeria,2013-01-01,2013.0,,,160.33,,,,41.45,12.35,,1.7000000000000002,,,,,,-34.545,,8.91,,,11415528.7,,,,,,
Algeria,2013-02-01,2013.0,,,160.09,,,,,11.82,,,,,,,,,,8.56,,,,,,,,,
Algeria,2013-03-01,2013.0,,,160.91,,,,,10.97,,,,,,,,,,8.07,,,,,,,,,
Algeria,2013-04-01,2013.0,,,160.25,,,,14.9,9.77,,2.2,,,,,,-15.1,,7.4,,,4435724.0,,,,,,
Algeria,2013-05-01,2013.0,,,159.11,,,,,9.08,,,,,,,,,,6.93,,,,,,,,,
Algeria,2013-06-01,2013.0,,,160.22,,,,,8.67,,,,,,,,,,6.59,,,,,,,,,
Algeria,2013-07-01,2013.0,,,159.58,,,,14.8,8.13,,3.4,,,,,,-12.5,,6.19,,,4440293.7,,,,,,
Algeria,2013-08-01,2013.0,,,161.08,,,,,7.63,,,,,,,,,,5.86,,,,,,,,,
Algeria,2013-09-01,2013.0,,,160.31,,,,,6.69,,,,,,,,,,5.32,,,,,,,,,
Algeria,2013-10-01,2013.0,,,160.15,,,,17.1,5.14,,4.0,,,,,,-13.3,,4.5,,,4754994.9,,,,,,
Algeria,2013-11-01,2013.0,,,158.87,,,,,4.19,,,,,,,,,,3.89,,,,,,,,,
Algeria,2013-12-01,2013.0,,,160.3,,,,,3.18,,,,,,,,,,3.26,,,,,,,,,
Algeria,2014-01-01,2014.0,,,161.4,,,,38.05,2.46,,3.3,,,,,,-37.085,,2.67,,,12020070.35,,,,,,
Algeria,2014-02-01,2014.0,,,160.99,,,,,2.03,,,,,,,,,,2.27,,,,,,,,,
Algeria,2014-03-01,2014.0,,,162.3,,,,,1.7,,,,,,,,,,1.98,,,,,,,,,
Algeria,2014-04-01,2014.0,,,161.34,,,,16.7,1.54,,5.7,,,,,,-15.6,,1.78,,,4817910.4,,,,,,
Algeria,2014-05-01,2014.0,,,161.83,,,,,1.45,,,,,,,,,,1.64,,,,,,,,,
Algeria,2014-06-01,2014.0,,,164.7,,,,,1.34,,,,,,,,,,1.51,,,,,,,,,
Algeria,2014-07-01,2014.0,,,164.88,,,,15.6,1.32,,6.2,,,,,,-14.9,,1.49,,,4808271.7,,,,,,
Algeria,2014-08-01,2014.0,,,165.47,,,,,1.26,,,,,,,,,,1.45,,,,,,,,,
Algeria,2014-09-01,2014.0,,,166.63,,,,,1.61,,,,,,,,,,1.6,,,,,,,,,
Algeria,2014-10-01,2014.0,,,169.96,,,,12.0,2.7,,2.0,,,,,,-14.7,,2.1,,,4841207.2,,,,,,
Algeria,2014-11-01,2014.0,,,169.02,,,,,3.45,,,,,,,,,,2.58,,,,,,,,,
Algeria,2014-12-01,2014.0,,,168.72,,,,,3.9,,,,,,,,,,2.92,,,,,,,,,
Algeria,2015-01-01,2015.0,,,168.91,,,,21.85,4.26,,2.95,,,,,,-33.075,,3.25,,,11775667.9,,,,,,
Algeria,2015-02-01,2015.0,,,170.0,,,,,4.82,,,,,,,,,,3.67,,,,,,,,,
Algeria,2015-03-01,2015.0,,,171.21,,,,,5.38,,,,,,,,,,4.06,,,,,,,,,
Algeria,2015-04-01,2015.0,,,170.64,,,,9.9,5.99,,3.5,,,,,,-14.1,,4.48,,,4685995.9,,,,,,
Algeria,2015-05-01,2015.0,,,171.36,,,,,6.43,,,,,,,,,,4.83,,,,,,,,,
Algeria,2015-06-01,2015.0,,,172.14,,,,,6.43,,,,,,,,,,4.97,,,,,,,,,
Algeria,2015-07-01,2015.0,,,170.98,,,,7.9,6.31,,2.9,,,,,,-12.6,,5.0,,,4618951.2,,,,,,
Algeria,2015-08-01,2015.0,,,172.85,,,,,6.39,,,,,,,,,,5.14,,,,,,,,,
Algeria,2015-09-01,2015.0,,,176.8,,,,,6.52,,,,,,,,,,5.32,,,,,,,,,
Algeria,2015-10-01,2015.0,,,176.07,,,,7.6,5.78,,3.6,,,,,,-12.5,,5.11,,,4901767.1,,,,,,
Algeria,2015-11-01,2015.0,,,174.8,,,,,5.06,,,,,,,,,,4.86,,,,,,,,,
Algeria,2015-12-01,2015.0,,,176.08,,,,,4.7,,,,,,,,,,4.78,,,,,,,,,
Algeria,2016-01-01,2016.0,,,177.42,,,,17.6,4.39,,3.7,,,,,,-31.07,,4.82,,,12265348.3,,,,,,
Algeria,2016-02-01,2016.0,,,177.06,,,,,3.75,,,,,,,,,,4.7,,,,,,,,,
Algeria,2016-03-01,2016.0,,,180.36,,,,,3.23,,,,,,,,,,4.69,,,,,,,,,
Algeria,2016-04-01,2016.0,,,182.07,,,,7.2,2.96,,2.7,,,,,,-12.5,,4.77,,,4868062.1,,,,,,
Algeria,2016-05-01,2016.0,,,183.31,,,,,2.69,,,,,,,,,,4.87,,,,,,,,,
Algeria,2016-06-01,2016.0,,,185.79,,,,,2.82,,,,,,,,,,5.16,,,,,,,,,
Algeria,2016-07-01,2016.0,,,184.9,,,,7.3,3.2,,4.4,,,,,,-12.2,,5.53,,,4860946.0,,,,,,
Algeria,2016-08-01,2016.0,,,185.67,,,,,3.35,,,,,,,,,,5.77,,,,,,,,,
Algeria,2016-09-01,2016.0,,,186.37,,,,,2.88,,,,,,,,,,5.72,,,,,,,,,
Algeria,2016-10-01,2016.0,,,185.14,,,,8.9,2.83,,4.9,,,,,,-12.1,,5.84,,,5306993.2,,,,,,
Algeria,2016-11-01,2016.0,,,187.97,,,,,3.23,,,,,,,,,,6.18,,,,,,,,,
Algeria,2016-12-01,2016.0,,,188.33,,,,,3.39,,,,,,,,,,6.4,,,,,,,,,
Algeria,2017-01-01,2017.0,,,191.74,,,,21.700000000000003,3.8,,2.6,,,,,,-30.99,,6.65,,,13159378.55,,,,,,
Algeria,2017-02-01,2017.0,,,190.63,,,,,4.41,,,,,,,,,,6.94,,,,,,,,,
Algeria,2017-03-01,2017.0,,,192.84,,,,,4.93,,,,,,,,,,7.07,,,,,,,,,
Algeria,2017-04-01,2017.0,,,193.54,,,,8.1,5.08,,1.2,,,,,,-11.8,,7.03,,,5126352.5,,,,,,
Algeria,2017-05-01,2017.0,,,192.82,,,,,5.11,,,,,,,,,,6.88,,,,,,,,,
Algeria,2017-06-01,2017.0,,,193.37,,,,,4.76,,,,,,,,,,6.55,,,,,,,,,
Algeria,2017-07-01,2017.0,,,190.62,,,,8.1,4.16,,1.1,,,,,,-11.6,,6.12,,,5130839.8,,,,,,
Algeria,2017-08-01,2017.0,,,194.03,,,,,3.99,,,,,,,,,,5.88,,,,,,,,,
Algeria,2017-09-01,2017.0,,,196.14,,,,,4.33,,,,,,,,,,5.87,,,,,,,,,
Algeria,2017-10-01,2017.0,,,197.18,,,,9.7,4.95,,0.3,,,,,,-12.7,,5.98,,,5567362.6,,,,,,
Algeria,2017-11-01,2017.0,,,197.11,,,,,4.93,,,,,,,,,,5.76,,,,,,,,,
Algeria,2017-12-01,2017.0,,,197.62,,,,,5.01,,,,,,,,,,5.59,,,,,,,,,
Algeria,2018-01-01,2018.0,,,198.59,,,,25.65,4.59,,1.8,,,,,,-30.435000000000002,,5.22,,,14148211.0,,,,,,
Algeria,2018-02-01,2018.0,,,197.44,,,,,4.11,,,,,,,,,,4.88,,,,,,,,,
Algeria,2018-03-01,2018.0,,,198.92,,,,,3.6,,,,,,,,,,4.57,,,,,,,,,
Algeria,2018-04-01,2018.0,,,200.07,,,,10.3,3.26,,1.0,,,,,,-12.1,,4.33,,,5593713.0,,,,,,
Algeria,2018-05-01,2018.0,,,203.71,,,,,3.47,,,,,,,,,,4.37,,,,,,,,,
Algeria,2018-06-01,2018.0,,,205.92,,,,,4.03,,,,,,,,,,4.58,,,,,,,,,
Algeria,2018-07-01,2018.0,,,201.97,,,,10.2,4.63,,1.5,,,,,,-11.2,,4.81,,,5658705.4,,,,,,
Algeria,2018-08-01,2018.0,,,202.89,,,,,4.67,,,,,,,,,,4.82,,,,,,,,,
Algeria,2018-09-01,2018.0,,,203.54,,,,,4.41,,,,,,,,,,4.69,,,,,,,,,
Algeria,2018-10-01,2018.0,,,205.97,,,,10.4,4.03,,1.1,,,,,,-13.1,,4.53,,,5818849.6,,,,,,
Algeria,2018-11-01,2018.0,,,205.05,,,,,3.83,,,,,,,,,,4.46,,,,,,,,,
Algeria,2018-12-01,2018.0,,,202.96,,,,,3.38,,,,,,,,,,4.27,,,,,,,,,
Algeria,2019-01-01,2019.0,,,203.74,,,,22.349999999999998,3.34,,1.25,,,,,,-28.615000000000002,,4.18,,,14852439.8,,,,,,
Algeria,2019-02-01,2019.0,,,202.75,,,,,3.38,,,,,,,,,,4.11,,,,,,,,,
Algeria,2019-03-01,2019.0,,,204.65,,,,,3.49,,,,,,,,,,4.08,,,,,,,,,
Algeria,2019-04-01,2019.0,,,204.68,,,,8.5,3.43,,0.2,,,,,,-11.5,,3.99,,,5641521.1,,,,,,
Algeria,2019-05-01,2019.0,,,206.7,,,,,2.74,,,,,,,,,,3.64,,,,,,,,,
Algeria,2019-06-01,2019.0,,,206.12,,,,,1.64,,,,,,,,,,3.1,,,,,,,,,
Algeria,2019-07-01,2019.0,,,204.68,,,,8.3,0.87,,1.2,,,,,,-10.4,,2.72,,,5630435.3,,,,,,
Algeria,2019-08-01,2019.0,,,206.83,,,,,0.45,,,,,,,,,,2.51,,,,,,,,,
Algeria,2019-09-01,2019.0,,,209.36,,,,,0.35,,,,,,,,,,2.44,,,,,,,,,
Algeria,2019-10-01,2019.0,,,209.14,,,,9.1,-0.11,,0.7,,,,,,-10.2,,2.19,,,5203361.9,,,,,,
